,filename,cropped_file_name,is_animal_there,color,tail,top3_breed,is_the_owner_there,address,cam_id,date
0,С82.jpg,,0,,,,,,,
1,B76.jpg,,0,,,,,,,
2,B80.jpg,,0,,,,,Площадка перед подъездом №5,PVN_hd_SVAO_3081_5,[и окт. 2021. 07:49:37
3,А55.jpg,,0,,,,,,,
4,А55.jpg,,0,,,,,,,
5,А94.jpg,,0,,,,,,,
6,С47.jpg,,0,,,,,,,
7,B51.jpg,,0,,,,,,,
8,С75.jpg,,0,,,,,Площадка перед подъездом №3,PVN_hd_UAO_7270_3,"29 сент. 2021, 07:38:39"
9,С81.jpg,,0,,,,,,,
10,B77.jpg,,0,,,,,Площадка перед подъездом №3,PVN_hd_TSAO_5300_3,"28 сент. 2021, 17:26:53"
11,B18.jpg,,0,,,,,,,
12,С98.jpg,,0,,,,,,,
13,С55.jpg,,0,,,,,,,
14,С94.jpg,,0,,,,,,,
15,B16.jpg,,0,,,,,,,
16,С54.jpg,,0,,,,,,,
17,B74.jpg,,0,,,,,,,
18,А39.jpg,,0,,,,,,,
19,А39.jpg,,0,,,,,,,
20,B75.jpg,,0,,,,,,,
21,B120.jpg,,0,,,,,,,
22,B107.jpg,,0,,,,,,,
23,С65.jpg,,0,,,,,,,
24,B87.jpg,,0,,,,,,,
25,B112.jpg,,0,,,,,,,
26,B64.jpg,,0,,,,,,,
27,А58.jpg,,0,,,,,,,
28,B53.jpg,,0,,,,,,,
